"","X","Y","OBJECTID","ADD_ID_HC","ANUMBER","ANUMBERSUF","ST_PRE_MOD","ST_PRE_DIR","ST_PRE_TYP","ST_NAME","ST_POS_TYP","ST_POS_DIR","ST_POS_MOD","SUB_AD_TYP","SUB_AD_ID","CONCAT_AD","MUNI_NAME","ZIP","ZIP4","LANDMARK_1","LANDMARK_2","FLR_LVL","ADD_TYPE","LONGITUDE","LATITUDE","PID","GlobalID","number"
"3852",479421.5247,4978304.4308,276251,95650,2423,NA,NA,NA,NA,"Elliot","Avenue",NA,NA,NA,NA,"2423 Elliot Avenue","Minneapolis",55404,NA,NA,NA,0,"Centroid",-93.2609,44.9579,"3502924240241","{097E54D2-037C-4A88-AD8C-62F6584B57B3}","3"
"3853",479602.5468,4984421.1503,276255,66426,2423,NA,NA,NA,NA,"6th","Street","Northeast",NA,NA,NA,"2423 6th Street Northeast","Minneapolis",55418,NA,NA,NA,0,"Structure",-93.2589,45.013,"1102924310175","{DA4E4697-D034-431D-97DE-9C4DE5519107}","3"
"3854",479421.5247,4978304.4308,276413,94095,2433,NA,NA,NA,NA,"Elliot","Avenue",NA,NA,NA,NA,"2433 Elliot Avenue","Minneapolis",55404,NA,NA,NA,0,"Centroid",-93.2609,44.9579,"3502924240236","{F41C24F2-90AA-4895-9876-1C46F2F7893E}","3"
"3855",481852.7082,4986234.7991,277013,75453,3343,NA,NA,NA,NA,"Cleveland","Street","Northeast",NA,NA,NA,"3343 Cleveland Street Northeast","Minneapolis",55418,NA,NA,NA,0,"Centroid",-93.2304,45.0293,"0102924140052","{2C5FA8B8-5D88-4874-B713-2E77BDF70E12}","3"
"3856",481891.3468,4976806.1473,277038,90559,3213,NA,NA,NA,NA,"29th","Avenue","South",NA,NA,NA,"3213 29th Avenue South","Minneapolis",55406,NA,NA,NA,0,"Centroid",-93.2295,44.9445,"0102824140095","{E9CE9D3B-FE50-42E2-BCC8-057FA1079A2A}","3"
"3857",481152.3131,4986829.0642,277050,89690,3643,NA,NA,NA,NA,"Buchanan","Street","Northeast",NA,NA,NA,"3643 Buchanan Street Northeast","Minneapolis",55418,NA,NA,NA,0,"Centroid",-93.2393,45.0347,"0102924210123","{3DD31739-DAEB-405F-8053-DB34335FD867}","3"
"3858",481831.2702,4976685.5264,277082,114324,3263,NA,NA,NA,NA,"Minnehaha","Avenue",NA,NA,NA,NA,"3263 Minnehaha Avenue","Minneapolis",55406,NA,NA,NA,0,"Centroid",-93.2303,44.9434,"0102824140070","{7C456516-DF5E-490F-93BB-FFB7AEC3D92C}","3"
"3859",480913.6297,4975835.0056,277211,87414,3703,NA,NA,NA,NA,"21st","Avenue","South",NA,NA,NA,"3703 21st Avenue South","Minneapolis",55407,NA,NA,NA,0,"Centroid",-93.2419,44.9357,"0102824340064","{2A1EB124-69F1-4F75-AAE0-C14955C1E16A}","3"
"3860",479211.4701,4976409.6917,277260,86417,3413,NA,NA,NA,NA,"Columbus","Avenue",NA,NA,NA,NA,"3413 Columbus Avenue","Minneapolis",55407,NA,NA,NA,0,"Centroid",-93.2635,44.9408,"0202824320037","{08C9C6A9-5F7F-4A38-94CF-DC3F34ECE0BE}","3"
"3861",480113.0227,4976527.9528,277268,89329,3333,NA,NA,NA,NA,"Bloomington","Avenue",NA,NA,NA,NA,"3333 Bloomington Avenue","Minneapolis",55407,NA,NA,NA,0,"Centroid",-93.2521,44.9419,"0202824140041","{210F339E-14F2-423E-B709-AF8EA4EF57D4}","3"
"3862",478911.6941,4977045.3615,277306,88194,3103,NA,NA,NA,NA,"Portland","Avenue",NA,NA,NA,NA,"3103 Portland Avenue","Minneapolis",55407,NA,NA,NA,0,"Centroid",-93.2673,44.9465,"0202824220145","{4D27D60E-0F5B-4967-BFB4-3ABB9F17F880}","3"
"3863",480020.5036,4977195.145,277320,88386,3013,"1/2",NA,NA,NA,"15th","Avenue","South",NA,NA,NA,"3013 1/2 15th Avenue South","Minneapolis",55407,NA,NA,NA,0,"Centroid",-93.2533,44.9479,"0202824120097","{376F4B28-DB74-4FF6-80F6-111774DD2A32}","3"
"3864",479317.5802,4976145.2835,277370,95733,3533,NA,NA,NA,NA,"Chicago","Avenue",NA,NA,NA,NA,"3533 Chicago Avenue","Minneapolis",55407,NA,NA,NA,0,"Centroid",-93.2621,44.9384,"0202824310089","{9780AFFB-E7EC-4E94-91B8-44BA3C22EAE6}","3"
"3865",478707.5755,4977224.4271,277388,95623,403,NA,NA,NA,NA,"Lake","Street","East",NA,NA,NA,"403 Lake Street East","Minneapolis",55408,NA,NA,NA,0,"CENTROID",-93.2699,44.9481,"0302824110240","{6E6BF324-474F-4C77-8CB8-393ECB08B1B9}","3"
"3866",479006.085,4977038.1916,277391,92521,3103,NA,NA,NA,NA,"Oakland","Avenue",NA,NA,NA,NA,"3103 Oakland Avenue","Minneapolis",55407,NA,NA,NA,0,"Centroid",-93.2661,44.9465,"0202824220140","{60B9AA37-036C-446A-8933-54F5E20E4258}","3"
"3867",477872.3312,4975854.0225,277394,130484,113,NA,NA,NA,NA,"37th","Street","West",NA,NA,NA,"113 37th Street West","Minneapolis",55409,NA,NA,NA,0,"Centroid",-93.2804,44.9358,"0302824340122","{16C5778A-7B21-4AC8-8800-81C43C1A6B5E}","3"
"3868",479310.9657,4976871.5409,277402,93924,3153,NA,NA,NA,NA,"Chicago","Avenue",NA,NA,NA,NA,"3153 Chicago Avenue","Minneapolis",55407,NA,NA,NA,0,"Centroid",-93.2623,44.945,"0202824240077","{77A53B7C-02F7-4BFF-ABCE-272942C397E1}","3"
"3869",477086.4429,4975885.7676,277420,102746,3653,NA,NA,NA,NA,"Bryant","Avenue","South",NA,NA,NA,"3653 Bryant Avenue South","Minneapolis",55409,NA,NA,NA,0,"Centroid",-93.2904,44.936,"0402824440087","{01A051DA-6916-4556-950A-5A566B1830CE}","3"
"3870",479909.639,4976761.3638,277425,103546,3223,NA,NA,NA,NA,"14th","Avenue","South",NA,NA,NA,"3223 14th Avenue South","Minneapolis",55407,NA,NA,NA,0,"Centroid",-93.2547,44.944,"0202824130042","{346BF532-9041-4E5A-9C8A-AA7CEC6C536C}","3"
"3871",476093.7589,4977134.3672,277431,97156,3033,NA,NA,NA,NA,"James","Avenue","South",NA,NA,NA,"3033 James Avenue South","Minneapolis",55408,NA,NA,NA,0,"Centroid",-93.303,44.9473,"0402824210048","{3E54BDFC-AAD2-4422-BE66-A3542F1FD680}","3"
"3872",479917.2783,4986759.0808,277433,130099,633,NA,NA,NA,NA,"36th","Avenue","Northeast",NA,NA,NA,"633 36th Avenue Northeast","Minneapolis",55418,NA,NA,NA,0,"Centroid",-93.255,45.034,"0202924120146","{7F55A577-4D97-411F-A262-B5450506673F}","3"
"3873",478508.4099,4976520.1585,277447,102560,3343,NA,NA,NA,NA,"3rd","Avenue","South",NA,NA,NA,"3343 3rd Avenue South","Minneapolis",55408,NA,NA,NA,0,"Centroid",-93.2724,44.9418,"0302824140169","{7A86DCDB-6131-4554-9CF5-4A5CB945B86E}","3"
"3874",477512.7363,4985321.4274,277457,143842,3623,NA,NA,NA,NA,"4th","Street","North",NA,NA,NA,"3623 4th Street North","Minneapolis",55412,NA,NA,NA,0,"Centroid",-93.2854,45.021,"0302924330079","{02A4CF2D-B508-45B2-899F-99052F82D3A7}","3"
"3875",476191.4916,4976732.6574,277479,147016,3233,NA,NA,NA,NA,"Irving","Avenue","South",NA,NA,NA,"3233 Irving Avenue South","Minneapolis",55408,NA,NA,NA,0,"Centroid",-93.3018,44.9436,"0402824240083","{8F83492C-FA7B-4376-8C96-C0D19E327FCA}","3"
"3876",476293.2269,4976928.7886,277488,146551,3133,NA,NA,NA,NA,"Humboldt","Avenue","South",NA,NA,NA,"3133 Humboldt Avenue South","Minneapolis",55408,NA,NA,NA,0,"Centroid",-93.3005,44.9454,"0402824210165","{44100811-5B6B-4F06-856E-B433647714A2}","3"
"3877",476192.1873,4976926.836,277499,104324,3133,NA,NA,NA,NA,"Irving","Avenue","South",NA,NA,NA,"3133 Irving Avenue South","Minneapolis",55408,NA,NA,NA,0,"Centroid",-93.3018,44.9454,"0402824210155","{37178245-1A94-4DA5-92CA-EC43D4894CDE}","3"
"3878",476994.0355,4976666.9304,277526,104161,3253,NA,NA,NA,NA,"Colfax","Avenue","South",NA,NA,NA,"3253 Colfax Avenue South","Minneapolis",55408,NA,NA,NA,0,"Centroid",-93.2916,44.9431,"0402824140084","{5B5526BB-AB37-4861-8BB0-4E5CBFD0DD3A}","3"
"3879",476875.1691,4986695.3371,277527,97188,4253,NA,NA,NA,NA,"Dupont","Avenue","North",NA,NA,NA,"4253 Dupont Avenue North","Minneapolis",55412,NA,NA,NA,0,"Centroid",-93.2936,45.0333,"0402924120043","{8EE8FBBC-DC8A-49CD-90DA-BC7089C9F2E6}","3"
"3880",477978.7727,4976041.6647,277580,146781,23,NA,NA,NA,NA,"36th","Street","West",NA,NA,NA,"23 36th Street West","Minneapolis",55408,NA,NA,NA,0,"Centroid",-93.2791,44.9375,"0302824340036","{07D2BCEC-009A-434C-A643-A0D5782C84C1}","3"
"3881",476584.8894,4985711.2589,277593,111551,3813,NA,NA,NA,NA,"Girard","Avenue","North",NA,NA,NA,"3813 Girard Avenue North","Minneapolis",55412,NA,NA,NA,0,"Centroid",-93.2972,45.0245,"0402924420044","{BBD31EF2-8B4B-4401-8DEE-BD3F9401779F}","3"
"3882",481891.4286,4976950.2212,277777,87410,3133,NA,NA,NA,NA,"29th","Avenue","South",NA,NA,NA,"3133 29th Avenue South","Minneapolis",55406,NA,NA,NA,0,"Centroid",-93.2296,44.9458,"0102824110084","{4AFA0016-BC64-4C1A-AF56-A2764197DEA8}","3"
"3883",480812.0939,4975701.458,277787,137122,3743,NA,NA,NA,NA,"20th","Avenue","South",NA,NA,NA,"3743 20th Avenue South","Minneapolis",55407,NA,NA,NA,0,"Centroid",-93.2432,44.9345,"0102824330192","{3FD7379E-3038-4AC4-8A77-27C8E6C0806C}","3"
"3884",481953.7138,4986435.7269,277822,75012,3453,NA,NA,NA,NA,"Benjamin","Street","Northeast",NA,NA,NA,"3453 Benjamin Street Northeast","Minneapolis",55418,NA,NA,NA,0,"Centroid",-93.2291,45.0312,"0102924140093","{6060472C-F3E8-4DC6-80B0-91CEB469C177}","3"
"3885",480850.4337,4986616.1319,277823,90406,3543,NA,NA,NA,NA,"Taylor","Street","Northeast",NA,NA,NA,"3543 Taylor Street Northeast","Minneapolis",55418,NA,NA,NA,0,"Centroid",-93.2431,45.0327,"0102924220065","{D6A57247-6139-4C03-BD6F-F36E1AF012EA}","3"
