"","X","Y","HealthFacilityIDNumber","FacilityCategory","BusinessName","AddrNum","AddrNumSuffix","StreetName","StreetType","PostDir","Unit","City","State","County","ZipCode","APN","Ward","Neighborhood","Latitude","Longitude","X_WebMercator","Y_WebMercator"
"206",-10380186.8196,5623676.0529,"LIC36509","GROCERY","HOLY LAND BRAND",2513,"","CENTRAL","AVE","NE","","Minneapolis","MN","Hennepin",55418,"1202924230126",1,"Audubon Park",45.01368,-93.2468,-10380186.8196,5623676.0529
"210",-10386382.7397,5613349.8122,"LIC44360","GROCERY","INGEBRETSEN'S SCANDINAVIAN FOODS",1601,"","LAKE","ST","E","","Minneapolis","MN","Hennepin",55407,"0402824210033",10,"East Bde Maka Ska",44.94807,-93.30246,-10386382.7397,5613349.8122
"212",-10381989.6526,5612553.7328,"LIC394097","GROCERY","SOUTHSIDE HALAL FOOD STORE",3300,"","CHICAGO","AVE","","","Minneapolis","MN","Hennepin",55407,"0202824230245",9,"Central",44.94301,-93.263,-10381989.6526,5612553.7328
"215",-10382737.7972,5618967.0712,"LIC39913","GROCERY","COOKS OF CROCUS HILL",208,"","1ST","ST","N","","Minneapolis","MN","Hennepin",55401,"2202924410104",3,"North Loop",44.98377,-93.26972,-10382737.7972,5618967.0712
"217",-10381904.9339,5612846.134,"LIC395862","GROCERY","AMIGOS ONE STOP",3159,"","CHICAGO","AVE","","","Minneapolis","MN","Hennepin",55407,"0202824240076",9,"Powderhorn Park",44.94487,-93.26224,-10381904.9339,5612846.134
"220",-10380190.9652,5624501.5832,"LIC29689","GROCERY","MIRASOL EXPRESS",2801,"","CENTRAL","AVE","NE","","Minneapolis","MN","Hennepin",55418,"1202924220189",1,"Audubon Park",45.01893,-93.24684,-10380190.9652,5624501.5832
"221",-10385123.638,5629310.5413,"LIC26198","GROCERY","PANTRY FOOD MARKET",5200,"","BRYANT","AVE","N","","Minneapolis","MN","Hennepin",55430,"1211821210081",4,"Lind - Bohanon",45.04946,-93.29115,-10385123.638,5629310.5413
"223",-10384085.6827,5613367.8189,"LIC396838","GROCERY","LAKE STREET MARKET INC",201,"","LAKE","ST","W","","Minneapolis","MN","Hennepin",55408,"0302824210014",8,"Lyndale",44.94818,-93.28183,-10384085.6827,5613367.8189
"229",-10386361.166,5623645.8233,"LIC24934","GROCERY","GOOD DEAL ORIENTAL FOODS",1800,"","LOWRY","AVE","N","","Minneapolis","MN","Hennepin",55411,"0902924240217",4,"Folwell",45.01349,-93.30227,-10386361.166,5623645.8233
"234",-10383149.6499,5619372.2292,"LIC394104","GROCERY","5TH AVE MARKET",201,"","5TH","AVE","N","","Minneapolis","MN","Hennepin",55401,"2202924139006",3,"North Loop",44.98635,-93.27342,-10383149.6499,5619372.2292
"235",-10383577.865,5613205.1246,"LIC395795","GROCERY","STOP N SHOP",3050,"","1ST","AVE","S","","Minneapolis","MN","Hennepin",55408,"0302824120162",8,"Lyndale",44.94715,-93.27727,-10383577.865,5613205.1246
"241",-10379531.3001,5613554.8694,"LIC396230","GROCERY","BURLINGTON",2124,"","LAKE","ST","E","","Minneapolis","MN","Hennepin",55407,"3602924340074",9,"East Phillips",44.94937,-93.24092,-10379531.3001,5613554.8694
"242",-10378512.4869,5622288.4267,"LIC43925","GROCERY","CUB FOODS #6692",1540,"","NEW BRIGHTON","BLVD","","","Minneapolis","MN","Hennepin",55413,"1302924110031",1,"Northeast Park",45.00487,-93.23176,-10378512.4869,5622288.4267
"243",-10383035.7557,5615814.205,"LIC352623","GROCERY","THIRD AVE MARKET",1905,"","3RD","AVE","S","","Minneapolis","MN","Hennepin",55404,"2702924440095",6,"Steven's Square - Loring Heights",44.96374,-93.2724,-10383035.7557,5615814.205
"253",-10384730.8014,5614449.0221,"LIC375858","GROCERY","ALDI #69",2601,"","LYNDALE","AVE","S","","Minneapolis","MN","Hennepin",55408,"3402924329008",NA,"",44.95505,-93.28762,-10384730.80144,5614449.02213
"254",-10382661.5713,5618838.7925,"LIC53814","GROCERY","WHOLE FOODS MARKET",222,"","HENNEPIN","AVE","","A","Minneapolis","MN","Hennepin",55401,"2202924410131",3,"North Loop",44.98296,-93.26904,-10382661.5713,5618838.7925
"255",-10382503.6977,5617885.9847,"LIC39421","GROCERY","BILLY & MARTYS",220,"","6TH","ST","S","","Minneapolis","MN","Hennepin",55402,"2702924110084",7,"Downtown West",44.9769,-93.26762,-10382503.6977,5617885.9847
"256",-10382189.683,5613359.8302,"LIC389253","GROCERY","EL CHUCHI MARKET",707,"","LAKE","ST","E","","Minneapolis","MN","Hennepin",55407,"0202824220192",9,"Central",44.94813,-93.2648,-10382189.683,5613359.8302
