"","address","closest_store","transit_time","latitude","longitude"
"138","2753 France Avenue South, Minneapolis, MN 55416","JOYCE FOOD SHELF","21 mins",44.9517,-93.3284
"139","33 Arthur Avenue Southeast, Minneapolis, MN 55414","TEAMSTERS HELPING TEAMSTERS FOOD","6 mins",44.969,-93.2155
"140","1523 34th Street West, Minneapolis, MN 55408","JOYCE FOOD SHELF","10 mins",44.9412,-93.3016
"141","1913 Franklin Avenue Southeast, Minneapolis, MN 55414","TEAMSTERS HELPING TEAMSTERS FOOD","12 mins",44.9649,-93.2121
"142","2933 40th Avenue South, Minneapolis, MN 55406","GLENDALE FOOD SHELF","38 mins",44.9491,-93.2149
"143","3523 Saint Paul Avenue, Minneapolis, MN 55416","JOYCE FOOD SHELF","23 mins",44.9507,-93.3242
"144","2233 Minneapolis Avenue, Minneapolis, MN 55406","GLENDALE FOOD SHELF","23 mins",44.9606,-93.224
"145","2713 Pleasant Avenue, Minneapolis, MN 55408","DIVISION OF INDIAN WORK","14 mins",44.9532,-93.2825
"146","3503 Cedar Lake Avenue, Minneapolis, MN 55416","JOYCE FOOD SHELF","25 mins",44.9531,-93.3232
"147","2713 12th Avenue South, Minneapolis, MN 55407","ISUROON","14 mins",44.9532,-93.2572
"148","2223 Sharon Avenue Southeast, Minneapolis, MN 55414","TEAMSTERS HELPING TEAMSTERS FOOD","16 mins",44.963,-93.208
"149","2323 East Lake Of The Isles Parkway, Minneapolis, MN 55405","JOYCE FOOD SHELF","35 mins",44.9595,-93.3015
"150","2113 25th Avenue South, Minneapolis, MN 55406","LITTLE KITCHEN FOOD SHELF","16 mins",44.9615,-93.2358
"151","2833 43rd Avenue South, Minneapolis, MN 55406","GLENDALE FOOD SHELF","42 mins",44.9509,-93.2111
"152","2733 Drew Avenue South, Minneapolis, MN 55416","JOYCE FOOD SHELF","23 mins",44.9524,-93.3259
"153","2513 29th Avenue South, Minneapolis, MN 55406","GLENDALE FOOD SHELF","31 mins",44.9568,-93.2295
"154","2443 17th Avenue South, Minneapolis, MN 55404","PILLSBURY UNITED COMM WAITE HOUSE","12 mins",44.9577,-93.2495
"155","2933 Harriet Avenue, Minneapolis, MN 55408","DIVISION OF INDIAN WORK","8 mins",44.9492,-93.2852
"156","2833 Sunset Boulevard, Minneapolis, MN 55416","JOYCE FOOD SHELF","19 mins",44.95,-93.3276
"157","3423 28th Street West, Minneapolis, MN 55416","JOYCE FOOD SHELF","25 mins",44.9526,-93.323
"158","2513 12th Avenue South, Minneapolis, MN 55404","PILLSBURY UNITED COMM WAITE HOUSE","4 mins",44.9567,-93.2571
"159","1523 22nd Street West, Minneapolis, MN 55405","DIVISION OF INDIAN WORK","23 mins",44.9606,-93.2992
"160","2553 Washburn Avenue South, Minneapolis, MN 55416","JOYCE FOOD SHELF","28 mins",44.9563,-93.3164
"161","2743 12th Avenue South, Minneapolis, MN 55407","ISUROON","13 mins",44.9522,-93.2572
"162","2113 Oliver Avenue South, Minneapolis, MN 55405","DIVISION OF INDIAN WORK","36 mins",44.9612,-93.3068
"163","3313 26th Street East, Minneapolis, MN 55406","GLENDALE FOOD SHELF","31 mins",44.9553,-93.2235
"164","2303 27th Avenue South, Minneapolis, MN 55406","GLENDALE FOOD SHELF","29 mins",44.9601,-93.2326
"165","2903 36th Avenue South, Minneapolis, MN 55406","GLENDALE FOOD SHELF","38 mins",44.95,-93.22
"166","2433 Bryant Avenue South, Minneapolis, MN 55405","DIVISION OF INDIAN WORK","16 mins",44.958,-93.2902
"167","2833 16th Avenue South, Minneapolis, MN 55407","ISUROON","4 mins",44.9509,-93.2509
"168","2513 10th Avenue South, Minneapolis, MN 55404","PILLSBURY UNITED COMM WAITE HOUSE","7 mins",44.9568,-93.2597
"169","2833 33rd Avenue South, Minneapolis, MN 55406","GLENDALE FOOD SHELF","40 mins",44.9508,-93.2239
"170","1013 22nd Street East, Minneapolis, MN 55404","PILLSBURY UNITED COMM WAITE HOUSE","3 mins",44.9607,-93.2588
"171","2313 25th Avenue South, Minneapolis, MN 55406","LITTLE KITCHEN FOOD SHELF","19 mins",44.9598,-93.2358
"172","2633 36th Avenue South, Minneapolis, MN 55406","GLENDALE FOOD SHELF","32 mins",44.9545,-93.22
"173","3323 26th Street East, Minneapolis, MN 55406","GLENDALE FOOD SHELF","31 mins",44.9554,-93.2231
"174","2213 29th Avenue South, Minneapolis, MN 55406","GLENDALE FOOD SHELF","25 mins",44.9605,-93.2294
"175","2623 17th Avenue South, Minneapolis, MN 55407","ISUROON","10 mins",44.9547,-93.2495
"176","1613 25th Street West, Minneapolis, MN 55405","DIVISION OF INDIAN WORK","23 mins",44.9574,-93.3004
"177","1053 Thomas Avenue South, Minneapolis, MN 55405","LAO ASSISTANCE CENTER OF MINNESOTA","24 mins",44.9687,-93.315
"178","2533 35th Avenue South, Minneapolis, MN 55406","GLENDALE FOOD SHELF","28 mins",44.9565,-93.2206
"179","3523 Cedar Lake Avenue, Minneapolis, MN 55416","JOYCE FOOD SHELF","27 mins",44.9532,-93.3241
"180","2713 Harriet Avenue, Minneapolis, MN 55408","DIVISION OF INDIAN WORK","11 mins",44.9531,-93.2852
"181","2813 13th Avenue South, Minneapolis, MN 55407","ISUROON","11 mins",44.9515,-93.2559
"182","813 22nd Street East, Minneapolis, MN 55404","PILLSBURY UNITED COMM WAITE HOUSE","7 mins",44.9607,-93.2617
"183","2923 Ewing Avenue South, Minneapolis, MN 55416","JOYCE FOOD SHELF","18 mins",44.949,-93.327
"184","2713 France Avenue South, Minneapolis, MN 55416","JOYCE FOOD SHELF","23 mins",44.9531,-93.3284
"185","2013 30th Avenue South, Minneapolis, MN 55406","GLENDALE FOOD SHELF","21 mins",44.9622,-93.2278
"186","2323 Irving Avenue South, Minneapolis, MN 55405","DIVISION OF INDIAN WORK","21 mins",44.9594,-93.2994
"187","2533 34th Avenue South, Minneapolis, MN 55406","GLENDALE FOOD SHELF","29 mins",44.9563,-93.222
"188","2423 17th Avenue South, Minneapolis, MN 55404","PILLSBURY UNITED COMM WAITE HOUSE","11 mins",44.9583,-93.2495
"189","2933 41st Avenue South, Minneapolis, MN 55406","GLENDALE FOOD SHELF","37 mins",44.9491,-93.2136
"190","2113 24th Avenue South, Minneapolis, MN 55406","LITTLE KITCHEN FOOD SHELF","16 mins",44.9614,-93.2374
"191","2923 32nd Avenue South, Minneapolis, MN 55406","SALVATION ARMY - SOUTH","15 mins",44.9494,-93.2253
"192","2713 Irving Avenue South, Minneapolis, MN 55408","DIVISION OF INDIAN WORK","13 mins",44.9535,-93.3004
"193","2933 38th Avenue South, Minneapolis, MN 55406","GLENDALE FOOD SHELF","38 mins",44.9491,-93.2175
"194","2533 Colfax Avenue South, Minneapolis, MN 55405","DIVISION OF INDIAN WORK","14 mins",44.9563,-93.2915
"195","2943 Portland Avenue, Minneapolis, MN 55407","CLUES","7 mins",44.9489,-93.2673
"196","2903 13th Avenue South, Minneapolis, MN 55407","ISUROON","9 mins",44.9499,-93.2559
"197","2413 29th Avenue South, Minneapolis, MN 55406","GLENDALE FOOD SHELF","28 mins",44.9586,-93.2294
"198","2753 41st Avenue South, Minneapolis, MN 55406","GLENDALE FOOD SHELF","39 mins",44.9521,-93.2137
