id,HMMReg2,HMMReg1
640,0.722,0.278
641,0.902,0.098
642,0.466,0.534
643,0.984,0.016
644,0.69,0.31
645,0.629,0.371
646,0.819,0.181
647,0.947,0.053
648,0.866,0.134
649,0.947,0.053
650,0.785,0.215
651,0.9,0.1
652,0.452,0.548
653,0.714,0.286
654,0.976,0.024
655,0.928,0.072
656,0.45,0.55
657,0.906,0.094
658,0.946,0.054
659,0.845,0.155
660,0.738,0.262
661,0.936,0.064
662,0.953,0.047
663,0.928,0.072
664,0.617,0.383
665,0.908,0.092
666,0.994,0.006
667,0.974,0.026
668,0.985,0.015
669,0.829,0.171
670,0.963,0.037
671,0.981,0.019
672,0.981,0.019
673,0.868,0.132
674,0.962,0.038
675,0.949,0.051
676,0.967,0.033
677,0.938,0.062
678,0.951,0.049
679,0.764,0.236
680,0.839,0.161
681,0.965,0.035
682,0.813,0.187
683,0.807,0.193
684,0.661,0.339
685,0.511,0.489
686,0.627,0.373
687,0.632,0.368
688,0.949,0.051
689,0.807,0.193
690,0.977,0.023
691,0.981,0.019
692,0.93,0.07
693,0.979,0.021
694,0.979,0.021
695,0.936,0.064
696,0.985,0.015
697,0.951,0.049
698,0.959,0.041
699,0.98,0.02
700,0.973,0.027
701,0.977,0.023
702,0.904,0.096
703,0.981,0.019
704,0.984,0.016
705,0.99,0.01
706,0.987,0.013
707,0.979,0.021
708,0.987,0.013
709,0.986,0.014
710,0.976,0.024
711,0.986,0.014
712,0.98,0.02
713,0.986,0.014
714,0.981,0.019
715,0.983,0.017
716,0.986,0.014
717,0.969,0.031
718,0.974,0.026
719,0.983,0.017
720,0.986,0.014
721,0.904,0.096
722,0.989,0.011
723,0.976,0.024
724,0.978,0.022
725,0.91,0.09
726,0.953,0.047
727,0.988,0.012
728,0.987,0.013
729,0.982,0.018
730,0.967,0.033
731,0.876,0.124
732,0.926,0.074
733,0.821,0.179
734,0.971,0.029
735,0.975,0.025
736,0.987,0.013
737,0.966,0.034
738,0.974,0.026
739,0.934,0.066
740,0.975,0.025
741,0.972,0.028
742,0.942,0.058
743,0.979,0.021
744,0.988,0.012
745,0.987,0.013
746,0.968,0.032
747,0.969,0.031
748,0.972,0.028
749,0.989,0.011
750,0.989,0.011
751,0.978,0.022
752,0.952,0.048
753,0.965,0.035
754,0.921,0.079
755,0.987,0.013
756,0.99,0.01
757,0.979,0.021
758,0.988,0.012
759,0.991,0.009
760,0.996,0.004
761,0.972,0.028
762,0.988,0.012
763,0.994,0.006
764,0.99,0.01
765,0.986,0.014
766,0.984,0.016
767,0.991,0.009
768,0.993,0.007
769,0.968,0.032
770,0.977,0.023
771,0.925,0.075
772,0.982,0.018
773,0.975,0.025
774,0.968,0.032
775,0.97,0.03
776,0.915,0.085
777,0.943,0.057
778,0.983,0.017
779,0.882,0.118
780,0.817,0.183
781,0.99,0.01
782,0.986,0.014
783,0.982,0.018
784,0.972,0.028
785,0.974,0.026
786,0.973,0.027
787,0.916,0.084
788,0.985,0.015
789,0.723,0.277
790,0.988,0.012
791,0.986,0.014
792,0.945,0.055
793,0.961,0.039
794,0.886,0.114
795,0.978,0.022
796,0.987,0.013
797,0.946,0.054
798,0.972,0.028
799,0.833,0.167
800,0.934,0.066
801,0.971,0.029
802,0.868,0.132
803,0.776,0.224
804,0.851,0.149
805,0.964,0.036
806,0.982,0.018
807,0.969,0.031
808,0.874,0.126
809,0.934,0.066
810,0.983,0.017
811,0.988,0.012
812,0.982,0.018
813,0.987,0.013
814,0.99,0.01
815,0.948,0.052
816,0.879,0.121
817,0.991,0.009
818,0.982,0.018
819,0.963,0.037
820,0.894,0.106
821,0.965,0.035
822,0.985,0.015
823,0.99,0.01
824,0.953,0.047
825,0.982,0.018
826,0.965,0.035
827,0.977,0.023
828,0.916,0.084
829,0.824,0.176
830,0.973,0.027
831,0.976,0.024
832,0.988,0.012
833,0.976,0.024
834,0.965,0.035
835,0.98,0.02
836,0.882,0.118
837,0.978,0.022
838,0.966,0.034
839,0.962,0.038
840,0.984,0.016
841,0.947,0.053
842,0.951,0.049
843,0.979,0.021
844,0.99,0.01
845,0.979,0.021
846,0.992,0.008
847,0.954,0.046
848,0.99,0.01
849,0.984,0.016
850,0.992,0.008
851,0.984,0.016
852,0.988,0.012
853,0.983,0.017
854,0.983,0.017
855,0.986,0.014
856,0.986,0.014
857,0.993,0.007
858,0.982,0.018
859,0.992,0.008
860,0.986,0.014
861,0.976,0.024
862,0.991,0.009
863,0.987,0.013
864,0.991,0.009
865,0.991,0.009
866,0.968,0.032
867,0.982,0.018
868,0.987,0.013
869,0.983,0.017
870,0.962,0.038
871,0.989,0.011
872,0.981,0.019
873,0.987,0.013
874,0.928,0.072
875,0.99,0.01
876,0.991,0.009
877,0.976,0.024
878,0.989,0.011
879,0.984,0.016
880,0.977,0.023
881,0.98,0.02
882,0.95,0.05
883,0.974,0.026
884,0.922,0.078
885,0.971,0.029
886,0.972,0.028
887,0.973,0.027
888,0.949,0.051
889,0.961,0.039
890,0.874,0.126
891,0.894,0.106
892,0.886,0.114
893,0.957,0.043
894,0.89,0.11
895,0.467,0.533
896,0.911,0.089
897,0.964,0.036
898,0.8,0.2
899,0.591,0.409
900,0.866,0.134
901,0.918,0.082
902,0.984,0.016
903,0.992,0.008
904,0.988,0.012
905,0.973,0.027
906,0.953,0.047
907,0.98,0.02
908,0.975,0.025
909,0.981,0.019
910,0.969,0.031
911,0.973,0.027
912,0.984,0.016
913,0.988,0.012
914,0.979,0.021
915,0.949,0.051
916,0.984,0.016
917,0.946,0.054
918,0.975,0.025
919,0.957,0.043
920,0.988,0.012
921,0.995,0.005
922,0.988,0.012
923,0.986,0.014
924,0.989,0.011
925,0.985,0.015
926,0.984,0.016
927,0.994,0.006
928,0.992,0.008
929,0.987,0.013
930,0.988,0.012
931,0.971,0.029
932,0.985,0.015
933,0.981,0.019
934,0.982,0.018
935,0.982,0.018
936,0.988,0.012
937,0.983,0.017
938,0.979,0.021
939,0.986,0.014
940,0.975,0.025
941,0.986,0.014
942,0.973,0.027
943,0.986,0.014
944,0.984,0.016
945,0.993,0.007
946,0.978,0.022
947,0.988,0.012
948,0.985,0.015
949,0.978,0.022
950,0.991,0.009
951,0.993,0.007
952,0.946,0.054
953,0.987,0.013
954,0.98,0.02
955,0.994,0.006
956,0.976,0.024
957,0.994,0.006
958,0.993,0.007
959,0.99,0.01
960,0.995,0.005
961,0.972,0.028
962,0.98,0.02
963,0.992,0.008
964,0.992,0.008
965,0.987,0.013
